"coder","category","item","code"
0,"type","5_type5","[{""text"":""Global Pattern""}]"
0,"industry","6_industry1","[{""text"":""Group Mention""}]"
0,"industry","6_industry2","[{""text"":""Group Mention""},{""text"":""Internet publishing, broadcasting, search""}]"
0,"industry","6_industry3","[{""text"":""Group Mention""}]"
0,"type-Comparison","6_type1",true
0,"type-Cause/Effect","6_type1",false
0,"type-Global Pattern","6_type1",true
0,"type","6_type1","[{""text"":""Comparison""},{""text"":""Global Pattern""}]"
0,"type-Comparison","6_type2",true
0,"type-Cause/Effect","6_type2",false
0,"type-Global Pattern","6_type2",true
0,"type","6_type2","[{""text"":""Comparison""},{""text"":""Global Pattern""}]"
0,"type-Comparison","6_type3",false
0,"type-Cause/Effect","6_type3",true
0,"type-Global Pattern","6_type3",true
0,"type","6_type3","[{""text"":""Cause/Effect""},{""text"":""Global Pattern""}]"
0,"industry","7_industry1","[{""text"":""Real estate credit""}]"
0,"industry","7_industry2","[{""text"":""Nail salons""}]"
0,"industry","7_industry3","[{""text"":""Metal ore mining""}]"
0,"industry","7_industry4","[{""text"":""Clothing stores""}]"
0,"industry","7_industry5","[{""text"":""Group Mention""}]"
0,"type-Comparison","7_type1",false
0,"type-Cause/Effect","7_type1",false
0,"type-Global Pattern","7_type1",true
0,"type","7_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","7_type2",false
0,"type-Cause/Effect","7_type2",false
0,"type-Global Pattern","7_type2",true
0,"type","7_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","7_type3",false
0,"type-Cause/Effect","7_type3",false
0,"type-Global Pattern","7_type3",true
0,"type","7_type3","[{""text"":""Global Pattern""}]"
0,"type-Comparison","7_type4",false
0,"type-Cause/Effect","7_type4",false
0,"type-Global Pattern","7_type4",true
0,"type","7_type4","[{""text"":""Global Pattern""}]"
0,"type-Comparison","7_type5",false
0,"type-Cause/Effect","7_type5",false
0,"type-Global Pattern","7_type5",true
0,"type","7_type5","[{""text"":""Global Pattern""}]"
0,"industry","8_industry1","[{""text"":""Land subdivision""}]"
0,"industry","8_industry2","[{""text"":""Electronics stores""}]"
0,"industry","8_industry3","[{""text"":""Telecommunications resellers, satellite and VoIP""}]"
0,"industry","8_industry4","[{""text"":""Group Mention""}]"
0,"industry","8_industry5","[{""text"":""Bookstores and news dealers""}]"
0,"type-Comparison","8_type1",false
0,"type-Cause/Effect","8_type1",false
0,"type-Global Pattern","8_type1",true
0,"type","8_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","8_type2",false
0,"type-Cause/Effect","8_type2",false
0,"type-Global Pattern","8_type2",true
0,"type","8_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","8_type3",true
0,"type-Cause/Effect","8_type3",false
0,"type-Global Pattern","8_type3",true
0,"type","8_type3","[{""text"":""Comparison""},{""text"":""Global Pattern""}]"
0,"type-Comparison","8_type4",false
0,"type-Cause/Effect","8_type4",true
0,"type-Global Pattern","8_type4",false
