postId,condition,fadeDelay,visitedCountries,visitedYears,inspect,connect,select,filter,explore,hover,click,time_diff_exploration
iku2wgom,fade,500,9,4,2,3,3,0,9,5,12,59595
iksin17d,nofade,500,6,13,9,0,13,0,15,9,28,83615
iku6i74v,nofade,500,11,10,28,16,50,6,10,44,66,280501
iksixixi,fade,500,5,4,6,1,46,0,4,7,50,56794
iksj89be,nofade,500,8,1,10,0,0,0,0,10,0,68038
iksj1ql5,nofade,500,0,12,0,0,0,0,11,0,11,81922
ikskisz2,nofade,500,27,1,3,83,2,35,1,86,38,186639
iksj23h6,nofade,500,3,4,5,0,2,4,8,5,14,99821
iku2t3dz,nofade,500,14,1,64,24,129,24,0,88,153,380531
iksivapo,fade,500,6,2,18,4,33,1,1,22,35,64524
iksk8ve8,fade,500,5,6,10,1,12,0,7,11,19,90960
iksjjwbd,fade,500,0,6,0,0,0,5,11,0,16,138210
iku3dv92,nofade,500,22,6,25,16,21,0,9,41,30,141144
iksip4kw,nofade,500,3,5,6,1,10,0,6,7,16,60982
iku32bee,nofade,500,8,11,14,0,38,4,10,14,52,140737
iku6i023,nofade,500,9,2,26,0,19,0,1,26,20,88073
iku5cqyu,fade,500,8,2,20,1,26,0,1,21,27,189677
iksinyzp,nofade,500,6,4,14,2,13,0,3,16,16,73450
iku2z0tg,fade,500,23,37,21,51,17,0,47,72,64,358522
iksiwwv2,nofade,500,8,3,10,5,14,0,2,15,16,48238
iku2oj70,fade,500,24,2,65,1,5,0,1,66,6,235159
iksiwn0n,fade,500,7,4,22,0,9,0,3,22,12,172021
iksimjnb,fade,500,2,5,13,2,33,0,8,15,41,335033
iksj0nzf,nofade,500,10,5,12,2,9,0,4,14,13,144711
iku4yzhm,fade,500,4,11,7,1,10,0,10,8,20,69340
iku4wady,nofade,500,5,1,7,0,32,0,0,7,32,34413
iku3qu30,nofade,500,3,1,6,2,2,0,0,8,2,16728
iksiwmej,nofade,500,6,3,14,0,11,0,2,14,13,185130
iku3kce6,fade,500,25,1,16,28,2,0,0,44,2,276586
ikskdzjq,nofade,500,10,1,9,17,11,5,0,26,16,71232
iku55rdx,fade,500,4,4,14,1,8,0,4,15,12,55625
iksix671,fade,500,7,18,16,4,6,0,19,20,25,159865
iku2mndy,fade,500,6,11,8,5,9,25,11,13,45,164126
iku2w94c,fade,500,2,8,1,1,1,0,15,2,16,68814
iksizfzs,nofade,500,14,8,35,17,7,20,9,52,36,382596
ikswptex,fade,500,7,2,23,0,30,0,6,23,36,110346
iksiyxms,nofade,500,5,5,9,4,21,2,7,13,30,99889
ikskgx6x,fade,500,11,4,7,13,12,2,10,20,24,79958
iksj0dvw,nofade,500,9,32,14,1,1,0,35,15,36,259084
iku6hddu,nofade,500,11,2,21,3,10,0,1,24,11,135427
iksj4ucl,fade,500,9,19,19,28,9,0,18,47,27,404680
iksmqvif,fade,500,34,2,26,63,119,0,3,89,122,314790
iksjqf2i,nofade,500,6,5,4,7,1,0,5,11,6,119111
iku2ljmr,nofade,500,4,5,11,2,11,0,5,13,16,79283
iksjoy5g,nofade,500,14,3,39,8,47,0,4,47,51,251351
iksj85ac,fade,500,1,1,3,0,9,0,0,3,9,19152
iku2yvs3,fade,500,2,2,1,12,2,2,1,13,5,76045
iku5bj30,fade,500,0,1,10,0,6,0,0,10,6,30277
iksim7dq,fade,500,14,11,21,9,9,0,10,30,19,126355
iksjb8a9,nofade,500,7,14,11,0,36,0,19,11,55,115064
iksiwcf8,nofade,500,7,7,4,20,11,7,9,24,27,113399
iksmlqzs,nofade,500,7,8,17,1,21,0,17,18,38,171635
iksm0osp,fade,500,0,4,0,2,3,0,7,2,10,130229
iku2r06g,fade,500,2,1,32,0,46,0,0,32,46,77736
iksix8v4,fade,500,2,4,4,0,24,0,3,4,27,86903
iku32nr5,nofade,500,5,3,21,0,28,0,2,21,30,88946
iksinayb,nofade,500,3,7,6,0,18,0,8,6,26,32636
iksip8ys,nofade,500,11,2,12,11,22,0,1,23,23,161299
ikswgl2d,fade,500,6,6,15,5,19,11,6,20,36,136525
ikslhyf4,fade,500,5,10,18,0,14,0,14,18,28,139881
iksitoln,fade,500,14,4,47,13,55,4,8,60,67,210178
iksjxvwi,nofade,500,10,9,18,23,16,15,8,41,39,151559
ikswx4g1,fade,500,4,4,7,14,27,2,7,21,36,83078
iksjt8ql,fade,500,8,14,6,9,15,0,13,15,28,229554
iku45aqm,fade,500,3,2,11,2,19,0,1,13,20,62098
iksizwwr,nofade,500,2,1,4,0,0,0,0,4,0,14919
iku2pfie,fade,500,19,8,70,45,130,31,24,115,185,1417738
iksipcrt,fade,500,0,12,0,1,0,0,23,1,23,58591
iku31f1t,fade,500,1,4,3,0,14,0,14,3,28,55669
iku331ff,fade,500,5,3,12,3,2,0,2,15,4,41695
iksj24l2,fade,500,4,2,13,0,10,0,1,13,11,64561
ikslfvpj,nofade,500,6,6,8,5,7,0,10,13,17,75475
iksy5jee,fade,500,4,1,10,1,12,0,0,11,12,50360
iku6fdoi,nofade,500,2,8,0,5,0,0,22,5,22,72017
iksirm5n,fade,500,2,4,1,5,0,0,10,6,10,100114
iksk0lj0,fade,500,11,37,17,13,25,0,41,30,66,276165
iksiqutx,nofade,500,3,8,11,0,1,0,11,11,12,121912
ikslctp6,fade,500,16,1,19,6,2,0,0,25,2,73715
iksinv8n,nofade,500,3,3,11,0,14,0,2,11,16,62421
iku3mk4m,nofade,500,2,2,1,0,1,0,1,1,2,23623
iksiy411,nofade,500,8,1,27,2,13,0,0,29,13,82347
iku3r5hg,nofade,500,5,4,18,4,16,0,3,22,19,106093
iku2q1l2,fade,500,7,8,41,0,27,0,7,41,34,165177
ikskf4ph,nofade,500,5,3,8,0,23,0,3,8,26,149822
iksjput8,fade,500,2,7,1,5,1,0,6,6,7,40369
iksiwcr2,nofade,500,5,7,8,0,27,0,6,8,33,155863
iku2qd7j,fade,500,24,5,59,20,60,82,4,79,146,289858
iku2p0a1,nofade,500,6,30,9,3,10,0,36,12,46,120232
iksiwuq9,fade,500,4,13,4,9,5,4,20,13,29,95039
iksiq557,nofade,500,0,1,0,0,3,0,0,0,3,3300
iksktyt7,fade,500,8,20,6,10,47,4,33,16,84,204960
iksiqkw2,fade,500,9,4,26,7,29,0,6,33,35,131639
iku2tdf0,fade,500,3,1,6,0,9,6,0,6,15,56501
iksijxl0,nofade,500,6,3,9,0,25,0,4,9,29,69258
iksim8rw,fade,500,6,11,29,19,27,2,14,48,43,216589
iksim7h4,fade,500,4,10,6,3,3,2,13,9,18,61170
iku4lppl,fade,500,6,2,25,1,60,0,1,26,61,114866
iku3t9a9,fade,500,5,4,28,0,18,0,3,28,21,65679
iku6xx7f,nofade,500,2,5,8,0,7,0,4,8,11,78122
iksjdmgz,fade,500,5,18,7,3,30,0,28,10,58,81096
iksio4h0,nofade,500,8,7,5,23,19,0,7,28,26,115327
iksiwgvz,nofade,500,1,3,1,1,0,0,2,2,2,430728
iku3j958,fade,500,11,8,5,11,20,4,9,16,33,72427
iku48p7h,nofade,500,8,1,22,4,16,0,0,26,16,105331
iksiwigk,fade,500,6,1,13,0,11,0,0,13,11,261226
ikskh8fo,nofade,500,4,5,5,0,4,0,12,5,16,123567
iku36rvj,fade,500,0,13,0,0,0,0,20,0,20,108688
iksxzvk0,fade,500,3,2,11,0,8,0,1,11,9,72195
iksiwb1o,fade,500,1,8,0,3,2,2,7,3,11,36772
iku6hbmr,nofade,500,2,4,2,2,1,0,3,4,4,54912
iksjh9i3,nofade,500,0,7,0,0,2,0,7,0,9,65178
iksiobhk,nofade,500,3,7,5,0,5,0,8,5,13,114509
iku33qcr,fade,500,11,5,30,1,16,0,7,31,23,225905
